,Batsmen,Country,Runs,OUT,Mins,Balls,4's,6's,SR,inn,opp,ground,date,Year,100's,50's,30's,Stadium,cont
205,EJG Morgan,England,67,0,61,51,7,2,131.37,2,Pakistan,Dubai (DSC),19-Feb-10,2010,0,1,1,United Arab Emirates,Asia
206,LMP Simmons,West Indies,67,0,-,45,4,4,148.88,2,India,Thiruvananthapuram,8-Dec-19,2019,0,1,1,India,Asia
207,DA Warner,Australia,67,0,94,56,5,1,119.64,2,South Africa,Port Elizabeth,23-Feb-20,2020,0,1,1,South Africa,Africa
208,LMP Simmons,West Indies,67,0,-,51,7,2,131.37,1,Sri Lanka,Pallekele,4-Mar-20,2020,0,1,1,Sri Lanka,Asia
209,CH Gayle,West Indies,67,1,60,41,5,5,163.41,2,New Zealand,Auckland,26-Dec-08,2008,0,1,1,New Zealand,Australia
210,Yuvraj Singh,INDIA,67,1,55,43,6,2,155.81,1,West Indies,Lord's,12-Jun-09,2009,0,1,1,India,Asia
211,DA Warner,Australia,67,1,33,29,5,7,231.03,2,West Indies,Sydney,23-Feb-10,2010,0,1,1,Australia,Australia
212,MJ Clarke,Australia,67,1,75,45,5,2,148.88,2,New Zealand,Christchurch,28-Feb-10,2010,0,1,1,New Zealand,Australia
213,MN van Wyk,South Africa,67,1,47,39,5,5,171.79,2,India,Durban,9-Jan-11,2011,0,1,1,South Africa,Africa
214,JP Duminy,South Africa,67,1,60,53,6,3,126.41,1,Australia,Cape Town,13-Oct-11,2011,0,1,1,South Africa,Africa
215,MJ Guptill,New Zealand,67,1,68,46,7,2,145.65,1,Zimbabwe,Harare,17-Oct-11,2011,0,1,1,Zimbabwe,Africa
216,SR Patel,England,67,1,65,48,8,2,139.58,2,Sri Lanka,Pallekele,1-Oct-12,2012,0,1,1,Sri Lanka,Asia
217,JC Buttler,England,67,1,60,43,5,3,155.81,1,West Indies,Bridgetown,11-Mar-14,2014,0,1,1,West Indies,North America
218,JJ Roy,England,67,1,72,45,9,1,148.88,2,South Africa,Taunton,23-Jun-17,2017,0,1,1,England,Europe
219,JJ Roy,England,67,1,-,31,4,7,216.12,1,India,Bristol,8-Jul-18,2018,0,1,1,England,Europe
220,RG Sharma,INDIA,67,1,-,51,6,3,131.37,1,West Indies,Lauderhill,4-Aug-19,2019,0,1,1,United States of America,North America
221,JDP Oram,New Zealand,66,0,56,31,5,6,212.9,2,Australia,Perth,11-Dec-07,2007,0,1,1,Australia,Australia
222,DJ Bravo,West Indies,66,0,45,36,4,3,183.33,2,India,Lord's,12-Jun-09,2009,0,1,1,India,Asia
223,JC Buttler,England,66,0,47,37,8,2,178.37,1,Sri Lanka,Delhi,26-Mar-16,2016,0,1,1,India,Asia
224,SB Styris,New Zealand,66,1,46,39,5,3,169.23,2,Australia,Auckland,17-Feb-05,2005,0,1,1,New Zealand,Australia
225,AD Hales,England,66,1,77,41,7,2,160.97,2,Sri Lanka,The Oval,20-May-14,2014,0,1,1,England,Europe
226,V Kohli,INDIA,66,1,54,41,9,1,160.97,2,England,Birmingham,7-Sep-14,2014,0,1,1,England,Europe
227,GJ Maxwell,Australia,66,1,41,29,7,4,227.58,2,Sri Lanka,Colombo (RPS),9-Sep-16,2016,0,1,1,Sri Lanka,Asia
228,C Munro,New Zealand,66,1,30,23,11,3,286.95,1,West Indies,Mount Maunganui,1-Jan-18,2018,0,1,1,New Zealand,Australia
229,RR Hendricks,South Africa,66,1,65,52,8,2,126.92,1,Sri Lanka,Johannesburg,24-Mar-19,2019,0,1,1,South Africa,Africa
230,H Klaasen,South Africa,66,1,43,33,4,4,200,1,England,Centurion,16-Feb-20,2020,0,1,1,South Africa,Africa
231,EJG Morgan,England,66,1,45,33,6,4,200,2,Pakistan,Manchester,30-Aug-20,2020,0,1,1,England,Europe
232,DJ Malan,England,66,1,59,43,5,3,153.48,1,Australia,Southampton,4-Sep-20,2020,0,1,1,England,Europe
233,RS Bopara,England,65,0,40,27,2,7,240.74,2,Australia,Hobart,29-Jan-14,2014,0,1,1,Australia,Australia
234,AB de Villiers,South Africa,65,0,79,58,4,2,112.06,1,England,Southampton,21-Jun-17,2017,0,1,1,England,Europe
235,DA Miller,South Africa,65,0,51,29,4,5,224.13,1,Pakistan,Johannesburg,3-Feb-19,2019,0,1,1,South Africa,Africa
236,RR Pant,INDIA,65,0,-,42,4,4,154.76,2,West Indies,Providence,6-Aug-19,2019,0,1,1,United States of America,North America
237,LMP Simmons,West Indies,65,1,54,44,7,2,147.72,1,Pakistan,Gros Islet,21-Apr-11,2011,0,1,1,West Indies,North America
238,F du Plessis,South Africa,65,1,40,38,6,2,171.05,2,India,Colombo (RPS),2-Oct-12,2012,0,1,1,Sri Lanka,Asia
239,AJ Finch,Australia,65,1,79,54,7,2,120.37,2,Pakistan,Dhaka,23-Mar-14,2014,0,1,1,Bangladesh,Asia
240,BB McCullum,New Zealand,65,1,61,45,4,3,144.44,2,Netherlands,Chattogram,29-Mar-14,2014,0,1,1,Bangladesh,Asia
241,V Kohli,INDIA,65,1,59,42,8,1,154.76,2,New Zealand,Rajkot,4-Nov-17,2017,0,1,1,India,Asia
242,MJ Guptill,New Zealand,65,1,58,40,6,3,162.5,1,England,Wellington,13-Feb-18,2018,0,1,1,New Zealand,Australia
243,RR Hendricks,South Africa,65,1,59,46,9,0,141.3,1,Sri Lanka,Centurion,22-Mar-19,2019,0,1,1,South Africa,Africa
244,RG Sharma,INDIA,65,1,50,40,6,3,162.5,1,New Zealand,Hamilton,29-Jan-20,2020,0,1,1,New Zealand,Australia
245,Q de Kock,South Africa,65,1,35,22,2,8,295.45,2,England,Durban,14-Feb-20,2020,0,1,1,South Africa,Africa
246,CL White,Australia,64,0,28,26,5,5,246.15,2,New Zealand,Christchurch,28-Feb-10,2010,0,1,1,New Zealand,Australia
247,F Behardien,South Africa,64,0,58,52,4,2,123.07,1,England,Southampton,21-Jun-17,2017,0,1,1,England,Europe
248,JP Duminy,South Africa,64,0,74,40,4,3,160,2,India,Centurion,21-Feb-18,2018,0,1,1,South Africa,Africa
249,JH Kallis,South Africa,64,1,75,54,7,1,118.51,2,Pakistan,Nottingham,18-Jun-09,2009,0,1,1,England,Europe
250,V Sehwag,INDIA,64,1,56,36,7,3,177.77,2,Sri Lanka,Mohali,12-Dec-09,2009,0,1,1,India,Asia
251,BB McCullum,New Zealand,64,1,46,37,2,6,172.97,1,Zimbabwe,Harare,17-Oct-11,2011,0,1,1,Zimbabwe,Africa
252,AB de Villiers,South Africa,64,1,34,29,4,5,220.68,1,Afghanistan,Mumbai,20-Mar-16,2016,0,1,1,India,Asia
253,HE van der Dussen,South Africa,64,1,62,44,4,3,145.45,1,Sri Lanka,Centurion,22-Mar-19,2019,0,1,1,South Africa,Africa
254,AJ Finch,Australia,64,1,-,36,8,3,177.77,1,Sri Lanka,Adelaide,27-Oct-19,2019,0,1,1,Australia,Australia
255,C Munro,New Zealand,64,1,60,47,6,3,136.17,2,India,Wellington,31-Jan-20,2020,0,1,1,New Zealand,Australia
256,JM Bairstow,England,64,1,50,34,7,3,188.23,2,South Africa,Centurion,16-Feb-20,2020,0,1,1,South Africa,Africa
257,CH Gayle,West Indies,63,0,89,50,8,2,126,2,Sri Lanka,The Oval,19-Jun-09,2009,0,1,1,England,Europe
258,KA Pollard,West Indies,63,0,34,29,5,5,217.24,1,New Zealand,Lauderhill,30-Jun-12,2012,0,1,1,United States of America,North America
259,DA Warner,Australia,63,0,60,41,7,3,153.65,2,India,Colombo (RPS),28-Sep-12,2012,0,1,1,Sri Lanka,Asia
260,LMP Simmons,West Indies,63,0,67,49,1,6,128.57,2,Zimbabwe,North Sound,2-Mar-13,2013,0,1,1,West Indies,North America
261,G Gambhir,INDIA,63,1,74,52,6,1,121.15,2,Australia,Mumbai (BS),20-Oct-07,2007,0,1,1,India,Asia
262,LRPL Taylor,New Zealand,63,1,77,50,4,4,126,1,West Indies,Auckland,26-Dec-08,2008,0,1,1,New Zealand,Australia
263,DA Warner,Australia,63,1,71,53,6,1,118.86,1,West Indies,The Oval,6-Jun-09,2009,0,1,1,England,Europe
264,AJ Redmond,New Zealand,63,1,38,30,13,0,210,1,Ireland,Nottingham,11-Jun-09,2009,0,1,1,England,Europe
265,AB de Villiers,South Africa,63,1,56,51,7,0,123.52,1,India,Nottingham,16-Jun-09,2009,0,1,1,England,Europe
266,SK Raina,INDIA,63,1,61,47,7,1,134.04,1,Sri Lanka,Gros Islet,11-May-10,2010,0,1,1,West Indies,North America
267,C Kieswetter,England,63,1,72,49,7,2,128.57,2,Australia,Bridgetown,16-May-10,2010,0,1,1,West Indies,North America
268,DR Smith,West Indies,63,1,46,34,6,4,185.29,1,Australia,Bridgetown,30-Mar-12,2012,0,1,1,West Indies,North America
269,GJ Bailey,Australia,63,1,41,29,6,4,217.24,2,West Indies,Colombo (RPS),5-Oct-12,2012,0,1,1,Sri Lanka,Asia
270,F du Plessis,South Africa,63,1,68,43,8,1,146.51,1,New Zealand,East London,23-Dec-12,2012,0,1,1,South Africa,Africa
271,MJ Lumb,England,63,1,46,40,9,2,157.5,1,West Indies,Bridgetown,13-Mar-14,2014,0,1,1,West Indies,North America
272,MJ Guptill,New Zealand,63,1,29,25,6,5,252,2,Sri Lanka,Auckland,10-Jan-16,2016,0,1,1,New Zealand,Australia
273,AB de Villiers,South Africa,63,1,59,44,2,3,143.18,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,1,1,South Africa,Africa
274,SK Raina,INDIA,63,1,57,45,2,5,140,1,England,Bengaluru,1-Feb-17,2017,0,1,1,India,Asia
275,MJ Guptill,New Zealand,63,1,51,38,5,2,165.78,1,West Indies,Mount Maunganui,3-Jan-18,2018,0,1,1,New Zealand,Australia
276,SR Watson,Australia,62,0,50,33,4,4,187.87,2,West Indies,Sydney,23-Feb-10,2010,0,1,1,Australia,Australia
277,AD Hales,England,62,0,62,48,8,1,129.16,2,West Indies,The Oval,23-Sep-11,2011,0,1,1,England,Europe
278,KP Pietersen,England,62,0,91,52,6,1,119.23,1,Pakistan,Abu Dhabi,27-Feb-12,2012,0,1,1,United Arab Emirates,Asia
279,LRPL Taylor,New Zealand,62,0,69,40,3,3,155,2,West Indies,Pallekele,1-Oct-12,2012,0,1,1,Sri Lanka,Asia
280,RG Sharma,INDIA,62,0,83,55,5,2,112.72,2,West Indies,Dhaka,23-Mar-14,2014,0,1,1,Bangladesh,Asia
281,MC Henriques,Australia,62,0,62,46,4,4,134.78,2,India,Guwahati,10-Oct-17,2017,0,1,1,India,Asia
282,LRPL Taylor,New Zealand,62,1,59,43,3,3,144.18,1,Sri Lanka,Johannesburg,15-Sep-07,2007,0,1,1,South Africa,Africa
283,ML Hayden,Australia,62,1,61,47,4,4,131.91,2,India,Durban,22-Sep-07,2007,0,1,1,South Africa,Africa
284,JD Ryder,New Zealand,62,1,59,41,7,3,151.21,1,West Indies,Hamilton,28-Dec-08,2008,0,1,1,New Zealand,Australia
285,KP Pietersen,England,62,1,52,40,4,3,155,1,Pakistan,Dubai (DSC),20-Feb-10,2010,0,1,1,United Arab Emirates,Asia
286,HD Rutherford,New Zealand,62,1,54,35,6,4,177.14,1,England,The Oval,25-Jun-13,2013,0,1,1,England,Europe
287,LRPL Taylor,New Zealand,62,1,68,37,4,3,167.56,2,South Africa,Chattogram,24-Mar-14,2014,0,1,1,Bangladesh,Asia
288,ADS Fletcher,West Indies,62,1,72,49,3,3,126.53,1,New Zealand,Roseau,6-Jul-14,2014,0,1,1,United States of America,North America
289,GH Worker,New Zealand,62,1,49,38,3,4,163.15,1,Zimbabwe,Harare,9-Aug-15,2015,0,1,1,Zimbabwe,Africa
290,RG Sharma,INDIA,62,1,54,28,4,4,221.42,2,West Indies,Lauderhill,27-Aug-16,2016,0,1,1,United States of America,North America
291,HM Amla,South Africa,62,1,57,43,9,1,144.18,1,New Zealand,Auckland,17-Feb-17,2017,0,1,1,New Zealand,Australia
292,M Klinger,Australia,62,1,-,43,6,1,144.18,1,Sri Lanka,Adelaide,22-Feb-17,2017,0,1,1,Australia,Australia
293,MJ Guptill,New Zealand,62,1,68,47,3,4,131.91,2,England,Hamilton,18-Feb-18,2018,0,1,1,New Zealand,Australia
294,GJ Maxwell,Australia,62,1,-,28,7,3,221.42,1,Sri Lanka,Adelaide,27-Oct-19,2019,0,1,1,Australia,Australia
295,SS Iyer,INDIA,62,1,-,33,3,5,187.87,1,Bangladesh,Nagpur,10-Nov-19,2019,0,1,1,India,Asia
296,KL Rahul,INDIA,62,1,-,40,5,4,155,2,West Indies,Hyderabad (Deccan),6-Dec-19,2019,0,1,1,India,Asia
297,SK Raina,INDIA,61,0,74,43,2,5,141.86,1,New Zealand,Christchurch,25-Feb-09,2009,0,1,1,New Zealand,Australia
298,SPD Smith,Australia,61,0,62,43,7,0,141.86,1,Pakistan,Mohali,25-Mar-16,2016,0,1,1,India,Asia
299,V Kohli,INDIA,61,0,-,41,4,2,148.78,2,Australia,Sydney,25-Nov-18,2018,0,1,1,Australia,Australia
300,GC Smith,South Africa,61,1,39,43,10,1,141.86,1,New Zealand,Johannesburg,21-Oct-05,2005,0,1,1,South Africa,Africa
301,DS Smith,West Indies,61,1,49,34,7,3,179.41,1,England,The Oval,28-Jun-07,2007,0,1,1,England,Europe
302,CH Gayle,West Indies,61,1,55,37,8,1,164.86,1,England,The Oval,29-Jun-07,2007,0,1,1,England,Europe
303,JDP Oram,New Zealand,61,1,47,40,7,2,152.5,2,England,Auckland,5-Feb-08,2008,0,1,1,New Zealand,Australia
304,BB McCullum,New Zealand,61,1,71,47,5,2,129.78,2,Australia,Sydney,15-Feb-09,2009,0,1,1,Australia,Australia
305,AM Rahane,INDIA,61,1,49,39,8,0,156.41,1,England,Manchester,31-Aug-11,2011,0,1,1,England,Europe
306,JH Kallis,South Africa,61,1,58,42,5,2,145.23,1,India,Johannesburg,30-Mar-12,2012,0,1,1,South Africa,Africa
307,KL Rahul,INDIA,61,1,68,48,7,1,127.08,1,Sri Lanka,Cuttack,20-Dec-17,2017,0,1,1,India,Asia
308,JC Buttler,England,61,1,-,30,6,5,203.33,1,Australia,Birmingham,27-Jun-18,2018,0,1,1,England,Europe
309,MM Ali,England,61,1,60,33,4,4,184.84,2,Pakistan,Manchester,1-Sep-20,2020,0,1,1,England,Europe
310,IR Bell,England,60,0,70,46,9,1,130.43,2,New Zealand,Manchester,13-Jun-08,2008,0,1,1,England,Europe
311,Yuvraj Singh,INDIA,60,0,45,25,3,5,240,2,Sri Lanka,Mohali,12-Dec-09,2009,0,1,1,India,Asia
312,MEK Hussey,Australia,60,0,38,24,3,6,250,2,Pakistan,Gros Islet,14-May-10,2010,0,1,1,West Indies,North America
313,JM Bairstow,England,60,0,57,46,5,2,130.43,1,Pakistan,Dubai (DSC),25-Feb-12,2012,0,1,1,United Arab Emirates,Asia
314,BB McCullum,New Zealand,60,0,67,45,2,4,133.33,1,West Indies,Auckland,11-Jan-14,2014,0,1,1,New Zealand,Australia
315,GJ Bailey,Australia,60,0,33,28,7,3,214.28,2,England,Melbourne,31-Jan-14,2014,0,1,1,Australia,Australia
316,JM Bairstow,England,60,0,42,35,6,2,171.42,2,South Africa,Southampton,21-Jun-17,2017,0,1,1,England,Europe
317,DA Warner,Australia,60,0,-,41,9,0,146.34,2,Sri Lanka,Brisbane,30-Oct-19,2019,0,1,1,Australia,Australia
318,RG Sharma,INDIA,60,0,-,41,3,3,146.34,1,New Zealand,Mount Maunganui,2-Feb-20,2020,0,1,1,New Zealand,Australia
319,LRPL Taylor,New Zealand,60,1,57,45,5,1,133.33,1,Sri Lanka,Colombo (RPS),2-Sep-09,2009,0,1,1,Sri Lanka,Asia
320,JEC Franklin,New Zealand,60,1,60,37,3,5,162.16,2,Zimbabwe,Hamilton,14-Feb-12,2012,0,1,1,New Zealand,Australia
321,Yuvraj Singh,INDIA,60,1,61,43,5,4,139.53,1,Australia,Dhaka,30-Mar-14,2014,0,1,1,Bangladesh,Asia
322,MN Samuels,West Indies,60,1,63,39,7,2,153.84,2,South Africa,Johannesburg,11-Jan-15,2015,0,1,1,South Africa,Africa
323,MJ Guptill,New Zealand,60,1,50,35,6,3,171.42,1,South Africa,Centurion,16-Aug-15,2015,0,1,1,South Africa,Africa
324,RG Sharma,INDIA,60,1,69,47,5,2,127.65,1,Australia,Melbourne,29-Jan-16,2016,0,1,1,Australia,Australia
325,S Dhawan,INDIA,60,1,63,44,9,1,136.36,2,Bangladesh,Dhaka,6-Mar-16,2016,0,1,1,Bangladesh,Asia
326,KS Williamson,New Zealand,60,1,88,57,6,1,105.26,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,1,1,New Zealand,Australia
327,KS Williamson,New Zealand,60,1,38,38,8,2,157.89,2,Pakistan,Dubai (DSC),4-Nov-18,2018,0,1,1,United Arab Emirates,Asia
328,MEK Hussey,Australia,59,0,-,45,4,2,131.11,2,West Indies,Gros Islet,27-Mar-12,2012,0,1,1,West Indies,North America
329,V Kohli,INDIA,59,0,44,33,7,1,178.78,1,Australia,Melbourne,29-Jan-16,2016,0,1,1,Australia,Australia
330,TC Bruce,New Zealand,59,0,65,39,5,1,151.28,1,Bangladesh,Mount Maunganui,6-Jan-17,2017,0,1,1,New Zealand,Australia
331,BB McCullum,New Zealand,59,1,49,34,6,4,173.52,1,West Indies,Hamilton,28-Dec-08,2008,0,1,1,New Zealand,Australia
332,RR Sarwan,West Indies,59,1,69,46,4,2,128.26,2,England,Port of Spain,15-Mar-09,2009,0,1,1,West Indies,North America
333,DJ Hussey,Australia,59,1,73,54,2,2,109.25,1,England,Bridgetown,16-May-10,2010,0,1,1,West Indies,North America
334,SR Watson,Australia,59,1,35,31,6,3,190.32,1,England,Adelaide,12-Jan-11,2011,0,1,1,Australia,Australia
335,RS Bopara,England,59,1,75,44,4,1,134.09,2,West Indies,Nottingham,24-Jun-12,2012,0,1,1,England,Europe
336,DA Warner,Australia,59,1,53,34,1,6,173.52,1,Pakistan,Dubai (DSC),10-Sep-12,2012,0,1,1,United Arab Emirates,Asia
337,MJ Guptill,New Zealand,59,1,77,55,2,1,107.27,1,England,Wellington,15-Feb-13,2013,0,1,1,New Zealand,Australia
338,AP Devcich,New Zealand,59,1,39,31,10,1,190.32,1,Bangladesh,Dhaka,6-Nov-13,2013,0,1,1,Bangladesh,Asia
339,Q de Kock,South Africa,59,1,71,44,5,1,134.09,1,Bangladesh,Bloemfontein,26-Oct-17,2017,0,1,1,South Africa,Africa
340,MJ Guptill,New Zealand,59,1,-,43,2,4,137.2,2,Pakistan,Mount Maunganui,28-Jan-18,2018,0,1,1,New Zealand,Australia
341,DJ Malan,England,59,1,65,40,6,2,147.5,2,New Zealand,Wellington,13-Feb-18,2018,0,1,1,New Zealand,Australia
342,DA Warner,Australia,59,1,43,24,4,5,245.83,2,New Zealand,Auckland,16-Feb-18,2018,0,1,1,New Zealand,Australia
343,V Kohli,INDIA,59,1,-,45,6,0,131.11,2,West Indies,Providence,6-Aug-19,2019,0,1,1,United States of America,North America
344,C de Grandhomme,New Zealand,59,1,-,46,2,3,128.26,2,Sri Lanka,Pallekele,3-Sep-19,2019,0,1,1,Sri Lanka,Asia
345,JM Vince,England,59,1,-,38,7,2,155.26,2,New Zealand,Christchurch,1-Nov-19,2019,0,1,1,New Zealand,Australia
346,C Munro,New Zealand,59,1,-,42,6,2,140.47,1,India,Auckland,24-Jan-20,2020,0,1,1,New Zealand,Australia
347,ML Hayden,Australia,58,0,44,38,7,2,152.63,2,Sri Lanka,Cape Town,20-Sep-07,2007,0,1,1,South Africa,Africa
348,C Kieswetter,England,58,0,62,49,3,2,118.36,2,West Indies,The Oval,23-Sep-11,2011,0,1,1,England,Europe
349,F du Plessis,South Africa,58,0,56,48,1,3,120.83,1,Pakistan,Dubai (DSC),15-Nov-13,2013,0,1,1,United Arab Emirates,Asia
350,CL White,Australia,58,0,63,45,9,0,128.88,2,England,Melbourne,31-Jan-14,2014,0,1,1,Australia,Australia
351,AD Hales,England,58,0,-,41,4,3,141.46,2,India,Cardiff,6-Jul-18,2018,0,1,1,England,Europe
352,SS Iyer,INDIA,58,0,-,29,5,3,200,2,New Zealand,Auckland,24-Jan-20,2020,0,1,1,New Zealand,Australia
353,G Gambhir,INDIA,58,1,62,41,7,1,141.46,1,England,Durban,19-Sep-07,2007,0,1,1,South Africa,Africa
354,Yuvraj Singh,INDIA,58,1,14,16,3,7,362.5,1,England,Durban,19-Sep-07,2007,0,1,1,South Africa,Africa
355,KP Pietersen,England,58,1,70,38,5,3,152.63,1,Pakistan,The Oval,7-Jun-09,2009,0,1,1,England,Europe
356,LE Bosman,South Africa,58,1,42,31,5,4,187.09,2,England,Johannesburg,13-Nov-09,2009,0,1,1,South Africa,Africa
357,GC Smith,South Africa,58,1,33,29,9,2,200,2,Zimbabwe,Bloemfontein,8-Oct-10,2010,0,1,1,South Africa,Africa
358,MN Samuels,West Indies,58,1,60,42,2,4,138.09,1,Bangladesh,Dhaka,11-Oct-11,2011,0,1,1,Bangladesh,Asia
359,DA Warner,Australia,58,1,58,43,5,3,134.88,2,West Indies,Bridgetown,30-Mar-12,2012,0,1,1,West Indies,North America
360,RJ Nicol,New Zealand,58,1,71,40,3,4,145,1,Sri Lanka,Pallekele,27-Sep-12,2012,0,1,1,Sri Lanka,Asia
361,CH Gayle,West Indies,58,1,46,35,6,4,165.71,1,England,Pallekele,27-Sep-12,2012,0,1,1,Sri Lanka,Asia
362,F du Plessis,South Africa,58,1,53,41,5,2,141.46,1,India,Dhaka,4-Apr-14,2014,0,1,1,Bangladesh,Asia
363,MJ Guptill,New Zealand,58,1,43,34,4,4,170.58,1,Sri Lanka,Mount Maunganui,7-Jan-16,2016,0,1,1,New Zealand,Australia
364,HM Amla,South Africa,58,1,49,31,7,3,187.09,1,England,Mumbai,18-Mar-16,2016,0,1,1,India,Asia
365,UT Khawaja,Australia,58,1,61,45,7,1,128.88,2,Bangladesh,Bengaluru,21-Mar-16,2016,0,1,1,India,Asia
366,KM Jadhav,INDIA,58,1,70,42,7,1,138.09,1,Zimbabwe,Harare,22-Jun-16,2016,0,1,1,Zimbabwe,Africa
367,E Lewis,West Indies,58,1,-,26,5,5,223.07,1,ICC World XI,Lord's,31-May-18,2018,0,1,1,India,Asia
368,C Munro,New Zealand,58,1,-,42,6,3,138.09,2,Pakistan,Abu Dhabi,31-Oct-18,2018,0,1,1,United Arab Emirates,Asia
369,RR Pant,INDIA,58,1,-,38,5,3,152.63,2,West Indies,Chennai,11-Nov-18,2018,0,1,1,India,Asia
370,N Pooran,West Indies,58,1,-,37,3,4,156.75,1,England,Gros Islet,5-Mar-19,2019,0,1,1,West Indies,North America
371,KA Pollard,West Indies,58,1,-,45,1,6,128.88,1,India,Providence,6-Aug-19,2019,0,1,1,United States of America,North America
372,DA Warner,Australia,58,1,77,47,4,0,123.4,2,England,Southampton,4-Sep-20,2020,0,1,1,England,Europe
373,JH Kallis,South Africa,57,0,74,49,5,1,116.32,2,England,Nottingham,11-Jun-09,2009,0,1,1,England,Europe
374,V Kohli,INDIA,57,0,66,50,3,1,114,2,Bangladesh,Dhaka,28-Mar-14,2014,0,1,1,Bangladesh,Asia
375,EJG Morgan,England,57,0,-,29,5,3,196.55,2,Pakistan,Cardiff,5-May-19,2019,0,1,1,England,Europe
376,DA Warner,Australia,57,0,-,50,4,1,114,2,Sri Lanka,Melbourne,1-Nov-19,2019,0,1,1,Australia,Australia
377,KL Rahul,INDIA,57,0,80,50,3,2,114,2,New Zealand,Auckland,26-Jan-20,2020,0,1,1,New Zealand,Australia
378,EJG Morgan,England,57,0,34,22,0,7,259.09,2,South Africa,Centurion,16-Feb-20,2020,0,1,1,South Africa,Africa
379,CD McMillan,New Zealand,57,1,40,31,3,4,183.87,1,England,Durban,18-Sep-07,2007,0,1,1,South Africa,Africa
380,BB McCullum,New Zealand,57,1,74,54,6,0,105.55,2,South Africa,Lord's,9-Jun-09,2009,0,1,1,India,Asia
381,PD Collingwood,England,57,1,53,32,3,4,178.12,1,South Africa,Johannesburg,13-Nov-09,2009,0,1,1,South Africa,Africa
382,SR Watson,Australia,57,1,22,24,6,5,237.5,2,Sri Lanka,Pallekele,8-Aug-11,2011,0,1,1,Sri Lanka,Asia
383,J Charles,West Indies,57,1,49,35,7,1,162.85,1,Australia,Brisbane,13-Feb-13,2013,0,1,1,Australia,Australia
384,EJG Morgan,England,57,1,73,38,7,2,150,2,Sri Lanka,Chattogram,27-Mar-14,2014,0,1,1,Bangladesh,Asia
385,KS Williamson,New Zealand,57,1,65,37,8,0,154.05,2,England,Manchester,23-Jun-15,2015,0,1,1,England,Europe
386,ADS Fletcher,West Indies,57,1,40,25,3,6,228,2,Sri Lanka,Pallekele,9-Nov-15,2015,0,1,1,Sri Lanka,Asia
387,C Munro,New Zealand,57,1,29,21,3,7,271.42,2,England,Hamilton,18-Feb-18,2018,0,1,1,New Zealand,Australia
388,TL Seifert,New Zealand,57,1,82,39,4,3,146.15,2,India,Wellington,31-Jan-20,2020,0,1,1,New Zealand,Australia
389,JC Buttler,England,57,1,43,29,9,2,196.55,2,South Africa,Centurion,16-Feb-20,2020,0,1,1,South Africa,Africa
390,DA Warner,Australia,57,1,53,37,5,2,154.05,1,South Africa,Cape Town,26-Feb-20,2020,0,1,1,South Africa,Africa
391,BB McCullum,New Zealand,56,0,88,49,2,3,114.28,2,India,Christchurch,25-Feb-09,2009,0,1,1,New Zealand,Australia
392,BB McCullum,New Zealand,56,0,35,27,7,2,207.4,2,Bangladesh,Hamilton,3-Feb-10,2010,0,1,1,New Zealand,Australia
393,G Gambhir,INDIA,56,0,91,60,4,0,93.33,2,Australia,Melbourne,3-Feb-12,2012,0,1,1,Australia,Australia
394,V Kohli,INDIA,56,0,85,47,7,0,119.14,2,Sri Lanka,Dhaka,1-Mar-16,2016,0,1,1,Bangladesh,Asia
395,HM Amla,South Africa,56,0,69,52,5,1,107.69,2,Sri Lanka,Delhi,28-Mar-16,2016,0,1,1,India,Asia
396,MC Henriques,Australia,56,0,63,37,2,2,151.35,1,Sri Lanka,Geelong,19-Feb-17,2017,0,1,1,Australia,Australia
397,HH Gibbs,South Africa,56,1,46,34,4,4,164.7,1,Australia,Johannesburg,24-Feb-06,2006,0,1,1,South Africa,Africa
398,RJ Nicol,New Zealand,56,1,42,37,4,4,151.35,2,Zimbabwe,Hamilton,14-Feb-12,2012,0,1,1,New Zealand,Australia
399,AD Hales,England,56,1,52,35,7,2,160,1,India,Pune,20-Dec-12,2012,0,1,1,India,Asia
400,RG Sharma,INDIA,56,1,60,44,5,1,127.27,2,Bangladesh,Dhaka,28-Mar-14,2014,0,1,1,Bangladesh,Asia
401,HM Amla,South Africa,56,1,45,37,6,2,151.35,1,England,Chattogram,29-Mar-14,2014,0,1,1,Bangladesh,Asia
402,C Munro,New Zealand,56,1,-,27,2,6,207.4,2,Pakistan,Auckland,15-Jan-16,2016,0,1,1,New Zealand,Australia
403,MS Dhoni,INDIA,56,1,56,36,5,2,155.55,1,England,Bengaluru,1-Feb-17,2017,0,1,1,India,Asia
404,GD Phillips,New Zealand,56,1,52,40,4,2,140,1,West Indies,Nelson,29-Dec-17,2017,0,1,1,New Zealand,Australia
405,RG Sharma,INDIA,56,1,-,42,4,3,133.33,2,Bangladesh,Colombo (RPS),18-Mar-18,2018,0,1,1,Sri Lanka,Asia
406,GJ Maxwell,Australia,56,1,-,38,1,5,147.36,2,Zimbabwe,Harare,6-Jul-18,2018,0,1,1,Zimbabwe,Africa
407,HE van der Dussen,South Africa,56,1,69,44,5,1,127.27,1,Zimbabwe,East London,9-Oct-18,2018,0,1,1,South Africa,Africa
